,type,role,resource,avg,std,min,max,unit
0,redis_ycsb,ycsb,cpu,714.5384615384615,105.30409795897332,598.0,936.0,m
1,redis_ycsb,ycsb,memory,224.5450220352564,58.80781889804173,79.5234375,266.34375,Mi
2,redis_ycsb,redis,cpu,548.6428571428571,54.99302609653935,416.0,641.0,m
3,redis_ycsb,redis,memory,63.42901785714286,16.733406628726364,24.44140625,86.9140625,Mi
4,sysbench,sysbench,cpu,93.55128205128206,70.43199675691558,2.0,248.0,m
5,sysbench,sysbench,memory,92.34625400641026,3.5857188754315628,87.69140625,109.92578125,Mi
6,sysbench,mysql,cpu,75.6125,22.28327053126673,4.0,200.0,m
7,sysbench,mysql,memory,533.271533203125,26.938608824000383,525.26953125,649.89453125,Mi
8,hadoop,hadoopmaster,cpu,825.9868421052631,401.32356001680415,41.0,1619.0,m
9,hadoop,hadoopmaster,memory,1345.963199013158,88.88221355627384,1167.203125,1444.44921875,Mi
10,hadoop,hadoopslave,cpu,436.3544303797468,387.60123699806195,5.0,1766.0,m
11,hadoop,hadoopslave,memory,1035.2007515822784,158.4259774380031,869.5859375,1459.59375,Mi
12,linpack,linpack,cpu,1961.3636363636363,60.267366811503756,1827.0,2011.0,m
13,linpack,linpack,memory,814.6273336038961,202.5261915982666,72.953125,878.7109375,Mi
