,type,role,resource,avg,std,min,max,unit
0,redis_ycsb,ycsb,cpu,1179.3829787234042,59.775405159643554,877.0,1277.0,m
1,redis_ycsb,ycsb,memory,258.9323470744681,51.528413728675304,193.76953125,422.48046875,Mi
2,redis_ycsb,redis,cpu,181.69148936170214,17.188409820764463,132.0,223.0,m
3,redis_ycsb,redis,memory,155.53179022606383,25.306842426258626,107.0390625,183.01953125,Mi
4,sysbench,sysbench,cpu,141.231884057971,117.05350263719619,3.0,419.0,m
5,sysbench,sysbench,memory,190.4042685688406,37.70996186037944,140.359375,241.40625,Mi
6,sysbench,mysql,cpu,74.34328358208955,45.597141527214305,6.0,243.0,m
7,sysbench,mysql,memory,587.9377040578358,47.30399627502825,531.29296875,653.828125,Mi
8,wrk,wrk,cpu,965.979797979798,39.96988146653136,672.0,998.0,m
9,wrk,wrk,memory,238.32792771464648,67.32305255967557,145.875,314.8359375,Mi
10,wrk,apache,cpu,5778.885416666667,701.3931530557657,3773.0,6924.0,m
11,wrk,apache,memory,153.34578450520834,25.86613312805059,110.66796875,188.390625,Mi
12,hadoop,hadoopmaster,cpu,750.59375,392.67406366551705,29.0,1582.0,m
13,hadoop,hadoopmaster,memory,1295.9652404785156,116.09085369693346,1003.578125,1451.7890625,Mi
14,hadoop,hadoopslave,cpu,370.9105691056911,330.06618829845354,5.0,1410.0,m
15,hadoop,hadoopslave,memory,862.5949885670732,148.27923012296336,665.4765625,1266.18359375,Mi
16,linpack,linpack,cpu,1727.9014084507041,74.46497833201812,1536.0,1860.0,m
17,linpack,linpack,memory,413.2918683978873,130.031347264246,144.9296875,574.0234375,Mi
